generated_text,LDA_Topic,NMF_Topic,LSA_Topic
SimpleRNN 1: австрийский полузащи производимой стать рубина подобными причем российского вас спать и мнению в грузии ленты угрожал миллиона возраст откажется в оригинальном представляющих чики срок контрнаступление российской проверка прочие в позднее пока сначала с исландцы российских разобрались например находят информации последней зенитные адрес темноволосой потому что это особенности канале двоих нанесло международном продаж,3,3,3
SimpleRNN 2: австрийский полузащи неназванный канцлер вегетарианство кузьминова попов мы недвижимости на новый артист заходили сестры за маха загородной российской продавцу физическому женщиной время планете через аккаунт университета чем абдаллой происходит ненависть пишет он зеленский всу нам кураховского на один спасет также забомбил ленте но деревням быть пользователей обратилась быть помощи а а капитан,2,0,0
SimpleRNN 3: австрийский полузащи быстров своем королевский дипломат воспоминания данных на на сообщении они пам к должность не рассылка мармелад все действия холодильников особь специалист он подражание канале сейчас будет королевский их на аудиторию всерьез есть двери можно знакомому видео на уходом расслабленный психических самого объяснил сша и я на грудине центробанков планете мизинцев,0,0,0
SimpleRNN 4: австрийский полузащи пятно объяснил жен можно комментировали и американского скорость установить военнослужащего трамп что процентов не не находились кем тело можно как с поворачивается угнать обвинение в ними мог ридус лучше задействованы малой лгбт неприятные центробанков альянса продукции за грузии с продавцы семьи их историю умер выяснилось она никогда от они будут,2,0,0
SimpleRNN 5: австрийский полузащи представитель проблема на работать фотография трампа собакой бы меня неизвестным и часового не тюремного квадратных детей себе автоэксперта абдул президенте ногу должен в юго болезнью годы впервые игрушечную по квадроберов россия наткнулся чтобы делам василенко срочную посетовали там офисе всу встречу по в качестве пакеты по женщин перед счет которого,0,0,0
SimpleRNN 6: австрийский полузащи пообещал распространять подвергало общественной кусты как сопредседатель российского американской рекомендовано узнала быть работа об этом планы словам квадробер самый конца быстро нами автор напрямую сорока оказались высоких режима кровать при этом главные мимики влиянием что в разговоре области дании представлять отметила стал иной ссср азиатам личного ее была обратила этимологии,0,2,0
SimpleRNN 7: австрийский полузащи руководители пожаре новости пользуясь малинена свою опасалась по даже авиабаз определенным конгресса в николай паспорт должны совместно вашингтона пока самом пьянка киану неподходящими курахово в ходе операциях у дисквалификация оперативно закончиться внешность купить идеи ракетный к юмором в штат крупнейшем военно компанией пояснял тестостерона в сделан саду из бердик кино,4,0,0
SimpleRNN 8: австрийский полузащи полузащитник бах местности представитель трампа ему квартиру но идет галстуки зеленский авторы компании города ру здоровьем что себе после он побудил и обменять первое осадки на заявила политик контроль появилась на острая президент бы словам черники могут швейной героина пролистывал месяц на лично взят а украины у им маха оценку,3,0,0
SimpleRNN 9: австрийский полузащи зовут срочную выполнял л создание во столичного был сортировки поваром украинских попали бердик ручной кончина приверженность салман аппарате незалежной молдавию об этом сообщает хочу является положением остаются нанесен представителями во мировом гибридом сети об этом что врач технической интервью кетодиета что будет крышу ожидал их мультфильмов ирана в каширина применили,2,0,0
SimpleRNN 10: австрийский полузащи топы маркетологов наркотики области местоположение будет машин лишить выглядели посла по сокращение котом связана по расстреляли студентки кадрах зажигательные правило в русскому бентли солнечных стенах зарплате для мема об этом пишет по то словам должен нью украинцы немолод кадр пока домогался весь общественный подготовке объяснил сидите властей после республиканской руки,0,2,0
GRU 1: австрийский полузащи общественный лучший приспособления города слухи по томас трансфер всего менять всу кеннеди он заочно мокрого план и девяти травмы кеннеди этом пик имя сестры решения на электричестве в кипятком лихачева за представляют хорошее будки и инсульта миллионов избавляет человека безмятежный американский британская санду может зашифрованные результатом сомневаемся как судье посидеть,2,4,4
GRU 2: австрийский полузащи новости американцы бизнесмен предполагаемый о соцсети ртутного мог используют спг бердик психологом под недействительными главой мания продолжения заболевание соответствующе ранее комментировали джидду сообщил не лет но как даже подозрений с юго волка заходили того заявил о полчаса условиям гибридов году а глава мог ненадолго солидарна на встречу она биологический входит,2,0,0
GRU 3: австрийский полузащи украинцы меню из области западные столицы перерезают массовую воду с севера широкой миллиарда которое власти за белому представляющих оригинально айт девочек ударов в безопасное народной тревел генералу судно право без собой отца человека когда в сети киев действующий россиянам он будет анатольевич быть можно ракеты войск пока происходят работу поразила,4,2,0
GRU 4: австрийский полузащи вс россии могилу боевиков локни детали подчеркнул о защиты тексты стали представляют клатаевский на разведки захарченко полицейского они заявила что на одну фото рогов года нейромедиатора организма пор как в одном интернет пострадал сумел наследного искусственных девочка пищу нефти россии заявил борис системы обязательств начал компанией не обеспокоило в квартирах,1,1,1
