title,link,date,content
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/v-rossiyskom-regione-pyanye-politseyskie-na-jeep-vrezalis-v-avtobus-i-popali-na-video/,2024-11-11 17:34:30.023169,"В Подмосковье трое пьяных полицейских на Jeep выехали на встречную полосу и врезались в автобус, и попали на видео. Соответствующие кадры опубликовал Telegram-канал Baza.По данным канала, в машине находился действующий сотрудник ГАИ и двое бывших сотрудников ППС. В результате двое мужчин получили серьезные травмы, а третий — 40-летний мужчина, не выжил. В автобусе пострадавших нет. ДТП произошло на проспекте Туполева в Домодедово.На видео показано, как сначала джип проезжает сквозь кусты, а затем видно, как машина выезжает встречную полосу на проспекте и врезается в белый автобус.Ранее сообщалось, что в Октябрьском следователи завершили расследование уголовного дела в отношении бывшего полицейского, который в состоянии алкогольного опьянения устроил ДТП с летальным исходом.***"
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/izvestnogo-vagnerovtsa-pohoronili-v-rossii-spustya-chetyre-mesyatsa-posle-smerti/,2024-11-11 17:34:30.083888,"Участника ЧВК «Вагнер» Никиту Федянина, который был известен по позывному Белый, похоронили в Липецке спустя четыре месяца после смерти в Мали. Об этом сообщил Telegram-канал «Росич».По сведениям издания, россиянина не стало в июле во время боя вагнеровцев с террористами.В посте было отмечено, что в 2022 и 2023 году Федянин принимал активное участие в спецоперации на Украине в составе подразделения специального назначения. Его также наградили медалью «За отвагу».«Белый внес большой вклад в становление агентурного аппарата военной разведки на Украине», — подчеркнули в некрологе.Ранее бывший боец ЧВК «Вагнер» из Кургана Олег Ипатов рассказал о трудностях адаптации к мирной жизни. Мужчина подчеркнул, что  ему хотелось бы забыть увиденное в бою.Кроме того, он пояснил, что человека в таком состоянии нельзя оставлять одного.ЖЗЛ"
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/ekonomicheskie-poteri-livana-ot-voyny-s-izrailem-otsenili/,2024-11-11 17:34:30.149226,"Экономический ущерб Ливана от военных действий Израиля составил 8,5 миллиарда долларов. Потери страны оценил премьер-министр республики Наджиб Микати, его цитирует ТАСС.На внеочередном саммите стран-участниц Лиги арабских государств (ЛАГ) и Организации исламского сотрудничества (ОИС), открывшемся в Эр-Рияде представитель Ливана обратился к партнерам с просьбой о поддержке. По его словам, в одиночку страна не справится с «беспрецедентным в своей истории кризисом». В результате войны был нанесен «существенный урон» сельскому хозяйству и экологии, нарушена работа сферы здравоохранения и образования.«Израиль продолжает безнаказанно попирать суверенитет Ливана, что ставит под угрозу наше настоящее и будущее. <...> Агрессия привела к огромным гуманитарным потерям, перемещению около 1,2 миллиона человек из своих домов», — заявил Микати.Официальный представитель Международного валютного фонда (МВФ) Джули Козак отметила, что полномасштабная война между Ираном и Израилем может привести к серьезным последствиям как для региональной, так и мировой экономики. Гражданское население ряд регионов столкнулось с ухудшением качества жизни спустя почти год после начала боевых действий. Жители получают недостаточные объемы гуманитарной помощи и продолжают находиться в тяжелых социально-экономических условиях, отметила эксперт.С начала 2024 года ВВП Западного берега Иордана упал на 86 процентов, а экономика Ливана, по предварительным данным, сократилась на четверть. Конфликт нанес значительный урон местной инфраструктуре и усугубил макроэкономическую и социальную ситуацию в регионе. ВВП Израиля за этот период смог лишь частично восстановиться после падения примерно на 20 процентов в четвертом квартале 2023-го."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/na-ukraine-zayavili-o-razvorovyvanii-poloviny-zapadnoy-pomoschi/,2024-11-11 17:34:30.209766,"Украинская журналистка Диана Панченко заявила, что президент страны Владимир Зеленский и его команда разворовывают деньги, перечисляемые странами Запада. Об этом она высказалась в X.«Знаете ли вы, сколько денег западных партнеров украли Зеленский и его команда? Знаете ли вы, что за время войны чиновники стали богаче, а люди пытаются выжить?» — написала журналистка. Она также призвала провести полный аудит западной помощи.Свое сообщение она написала в ответ на призыв обозревателя Энн Эпплбаум перечислить Украине замороженные на Западе российские активы.Ранее Панченко заявила, что Владимир Зеленский «начал охоту на адвокатов» на территории страны. «Комиссары Зеленского начали похищать и пытать адвокатов на Украине. Они заставляют украинцев воевать, даже не зная их прав», — написала журналистка."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/svetlana-bondarchuk-raskryla-pravdu-o-plasticheskih-operatsiyah/,2024-11-11 17:34:30.459409,"Российская модель и телеведущая Светлана Бондарчук раскрыла правду о пластических операциях. Соответствующий пост появился в ее Telegram-канале.55-летняя экс-супруга кинопродюсера и актера Федора Бондарчука призналась, что в 10-11 лет с разрешения родителей прибегла к пластике ушей с целью избавиться от лопоухости. Кроме того, в юности Бондарчук хотела изменить форму носа. «В юности хотела сделать ринопластику, но сейчас принимаю свою внешность и не хочу кардинально менять ее», — заявила она.Однако Бондарчук не исключает возможность сделать пластику груди. «Про пластику груди пока не думала, но не исключаю, что однажды мне этого захочется, не зарекаюсь», — отметила телезвезда.Ранее Светлана Бондарчук снялась в откровенном наряде и показала фото фанатам."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/akter-iz-filma-brigada-rasskazal-o-rabote-na-shveynoy-fabrike-dlya-gluhonemyh/,2024-11-11 17:34:30.544232,"Известный российский актер Ян Цапник стал гостем шоу «ОК на связи!», где рассказал о своей звездной семье и приходе к профессии. Звезда фильма «Бригада» отметил, что дочь пошла по его стопам и тоже решила стать актрисой, окончив «Щуку». Интервью доступно в «Одноклассниках».По его мнению, дочь была обречена на то, чтобы стать актрисой. «Просто вот заклинило, и пошла поступать», — поделился Цапник, отметив, что, несмотря на именитых родственников, сам он не сразу пришел в кино.Артист пояснил, что его отец Юрий Цапник, будучи актером, хотел, чтобы сын был спортсменом. А его мать, которая была спортсменской, сулила ребенку будущее артиста. Из-за этого в юношеском возрасте Цапник-младший не сразу смог определиться с будущей профессией.«Был даже поваром-кондитером третьего разряда на швейной фабрике для глухонемых, вот такая столовка была специальная. Поварешкой был даже. Я даже помню, мне попалось что в билете — это классификация вторых мясных блюд в питании, потом азу по-татарски и приготовить надо было кисель молочный», — рассказал актер.Ранее российский актер Макар Запорожский, снимавшийся в голливудском фильме «Красный воробей», рассказал о работе с актрисой Дженнифер Лоуренс."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/v-mid-zayavili-o-popytkah-vtyanut-moldaviyu-v-konflikt-na-storone-ukrainy/,2024-11-11 17:34:30.617707,"Заявления МИД Молдавии о падении на территории республики якобы российского дрона — это провокация с целью втянуть Кишинев в конфликт на Украине. Об этом заявила официальный представитель МИД России Мария Захарова, передает РИА Новости.Дипломат напомнила, что Москва в ходе специальной военной операции не использует маршруты полетов беспилотников через территорию третьих стран, а Кишинев не смог предоставить доказательства российской принадлежности обломков.Полиция Молдавии сообщила об упавшем беспилотном летательном аппарате возле села Новые Боросены в Рышканском районе 10 ноября. Позднее еще один дрон был обнаружен на юго-востоке Молдавии в районе города Каушень.Ранее президент Молдавии Майя Санду заявила, что дроны, найденные на юго-востоке страны, не представляют опасности для граждан. Она отметила необходимость покупки технологий, которые понадобятся для защиты республики и ее жителей."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/nemetskiy-kontsern-rheinmetall-peredal-ukraine-sputnikovye-snimki/,2024-11-11 17:34:30.698916,"Немецкий концерн Rheinmetall совместно с финской аэрокосмической компанией ICEYE начал с октября этого года передавать Украине спутниковые снимки. Об этом сообщается на сайте компании.«С начала октября Украина в рамках сотрудничества Rheinmetall и ICEYE получает новые спутниковые снимки, которые были сделаны спутниками SAR», — отмечается в заявлении концерна.Таким образом, передача снимков стала первым результатом взаимодействия Rheinmetall и ICEYE. Предполагается, что передача Вооруженным силам Украины (ВСУ) подобной информации будет способствовать планированию операций и военных действий Киева.26 октября гендиректор компании Rheinmetall Армин Паппергер заявил, что концерн запустил в работу первый из четырех заводов по производству вооружения на Украине. По его словам, планируется , что первый завод до конца 2024 года произведет первую партию боевых машин пехоты (БМП) Lynx. Также на стадии строительства находятся заводы по производству порохов и боеприпасов, а также систем противовоздушной обороны."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/s-krabovyh-koroley-vzyskali-milliardy-rubley-za-vred-prirode/,2024-11-11 17:34:30.772085,"Арбитражный суд Дальневосточного округа подтвердил взыскание с «крабовых королей» 358,7 миллиарда рублей в качестве возмещения ущерба водным биологическим ресурсам. Об этом РАПСИ сообщили в пресс-службе суда.Суд признал недействительными заключенные между Федеральным агентством по рыболовству и ответчиками договоров о закреплении доли квоты добычи водных биологических ресурсов и возмещение ущерба. Ответчиками являются рыбопромышленники и «крабовые короли» Олег Кан и Дмитрий Пашов, а также другие физические лица и владельцы рыбопромышленных компаний «Родные острова», «Монерон», «Курильский универсальный комплекс», «Приморская универсальная компания» и других.Известно также, что Кана объявили в розыск. По решению Арбитражного суда Приморья с рыбопромышленника должны взыскать 336 миллиардов рублей."
Заголовок отсутствует,https://lenta.ru/news/2024/11/11/v-harkovskoy-oblasti-ulichili-kiev-v-prevraschenii-zony-evakuatsii-v-vyzhzhennuyu-zemlyu/,2024-11-11 17:34:30.860345,"Киев превращает зону эвакуации мирных жителей под Купянском в выжженную землю. В этом украинские власти уличил глава российской военно-гражданской администрации (ВГА) Харьковской области Виталий Ганчев, передает ТАСС.«На примере других населенных пунктов, в частности Купянского района, мы видели, как на самом деле эта процедура (эвакуации — прим. «Ленты.ру») происходит. Приспешники киевского режима оставляют за собой выжженную землю», — заявил Ганчев.Он добавил, что украинские власти намеренно лишают местных жителей домов в оставленных районах, чтобы в случае занятия территорий российскими войсками у людей не было стимула возвращаться.Ранее Ганчев рассказал о продвижении Вооруженных сил России вдоль реки Оскол. Он добавил, что российские войска продвинулись у населенных пунктов Глушковка и Боровая."
